Id,SalePrice
1461,121697.0
1462,161418.0
1463,187719.0
1464,195281.0
1465,187932.0
1466,175126.0
1467,182717.0
1468,168810.0
1469,185981.0
1470,120234.0
1471,182024.0
1472,93840.0
1473,102230.0
1474,148923.0
1475,121744.0
1476,366363.0
1477,248262.0
1478,291202.0
1479,258658.0
1480,511615.0
1481,339254.0
1482,211190.0
1483,179204.0
1484,166790.0
1485,182676.0
1486,197929.0
1487,336198.0
1488,230750.0
1489,203608.0
1490,221853.0
1491,188819.0
1492,92353.0
1493,184194.0
1494,282872.0
1495,290215.0
1496,233838.0
1497,182134.0
1498,162154.0
1499,157703.0
1500,154010.0
1501,177177.0
1502,149299.0
1503,303342.0
1504,236772.0
1505,222332.0
1506,186410.0
1507,246272.0
1508,200711.0
1509,162731.0
1510,150417.0
1511,149680.0
1512,171333.0
1513,152153.0
1514,171435.0
1515,175074.0
1516,153627.0
1517,164712.0
1518,128540.0
1519,221467.0
1520,134865.0
1521,137115.0
1522,166719.0
1523,115057.0
1524,126303.0
1525,121257.0
1526,115807.0
1527,104396.0
1528,131677.0
1529,153592.0
1530,174863.0
1531,102130.0
1532,98342.0
1533,145632.0
1534,119452.0
1535,147148.0
1536,110399.0
1537,61313.0
1538,153055.0
1539,180212.0
1540,93056.0
1541,144671.0
1542,141813.0
1543,213700.0
1544,81600.0
1545,114049.0
1546,128892.0
1547,133532.0
1548,138968.0
1549,114146.0
1550,137916.0
1551,111373.0
1552,140496.0
1553,144106.0
1554,112867.0
1555,165881.0
1556,80515.0
1557,109420.0
1558,96952.0
1559,74719.0
1560,131669.0
1561,148861.0
1562,126777.0
1563,122071.0
1564,153616.0
1565,149837.0
1566,236660.0
1567,70281.0
1568,234764.0
1569,144255.0
1570,134080.0
1571,111660.0
1572,145450.0
1573,241729.0
1574,119980.0
1575,220336.0
1576,232665.0
1577,193274.0
1578,145060.0
1579,145804.0
1580,190896.0
1581,157465.0
1582,127928.0
1583,328738.0
1584,226533.0
1585,140211.0
1586,63304.0
1587,102584.0
1588,153956.0
1589,98306.0
1590,131376.0
1591,96376.0
1592,120941.0
1593,118077.0
1594,140009.0
1595,112226.0
1596,243163.0
1597,189471.0
1598,202035.0
1599,167201.0
1600,163161.0
1601,62939.0
1602,117779.0
1603,80153.0
1604,269154.0
1605,240948.0
1606,163336.0
1607,166599.0
1608,211561.0
1609,187674.0
1610,154852.0
1611,141946.0
1612,165236.0
1613,165451.0
1614,124007.0
1615,88801.0
1616,75892.0
1617,96977.0
1618,125772.0
1619,135617.0
1620,157193.0
1621,137273.0
1622,143150.0
1623,287515.0
1624,212836.0
1625,121148.0
1626,162468.0
1627,187571.0
1628,280226.0
1629,176554.0
1630,358293.0
1631,220049.0
1632,246626.0
1633,171878.0
1634,187473.0
1635,174417.0
1636,155176.0
1637,197544.0
1638,187202.0
1639,183316.0
1640,262420.0
1641,175076.0
1642,237061.0
1643,217699.0
1644,237528.0
1645,189230.0
1646,160134.0
1647,155539.0
1648,136341.0
1649,140408.0
1650,119705.0
1651,118987.0
1652,97264.0
1653,100415.0
1654,148945.0
1655,141668.0
1656,146825.0
1657,152100.0
1658,147573.0
1659,128234.0
1660,154036.0
1661,450459.0
1662,402740.0
1663,382809.0
1664,501325.0
1665,307823.0
1666,329324.0
1667,364662.0
1668,331562.0
1669,291485.0
1670,338474.0
1671,266068.0
1672,447352.0
1673,289344.0
1674,243703.0
1675,187218.0
1676,196374.0
1677,223742.0
1678,489999.0
1679,394696.0
1680,344045.0
1681,242586.0
1682,313103.0
1683,180460.0
1684,170780.0
1685,170057.0
1686,168221.0
1687,170594.0
1688,188281.0
1689,191031.0
1690,187161.0
1691,180626.0
1692,251196.0
1693,168168.0
1694,182804.0
1695,165631.0
1696,274373.0
1697,169977.0
1698,350416.0
1699,317165.0
1700,245802.0
1701,268218.0
1702,252809.0
1703,255522.0
1704,280279.0
1705,231395.0
1706,440105.0
1707,214692.0
1708,213445.0
1709,268047.0
1710,220997.0
1711,259164.0
1712,261814.0
1713,273064.0
1714,227548.0
1715,208021.0
1716,182106.0
1717,170827.0
1718,133259.0
1719,199913.0
1720,240463.0
1721,161178.0
1722,123730.0
1723,155507.0
1724,209773.0
1725,240924.0
1726,183379.0
1727,159215.0
1728,166531.0
1729,167671.0
1730,144418.0
1731,124088.0
1732,133147.0
1733,117200.0
1734,123478.0
1735,126516.0
1736,114622.0
1737,317050.0
1738,230409.0
1739,248446.0
1740,222766.0
1741,200886.0
1742,174580.0
1743,174259.0
1744,308789.0
1745,230971.0
1746,177892.0
1747,215266.0
1748,226416.0
1749,151380.0
1750,132009.0
1751,236392.0
1752,121206.0
1753,146886.0
1754,188582.0
1755,172863.0
1756,128440.0
1757,121941.0
1758,146866.0
1759,159807.0
